host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
3074414,Melissa,university district,university district,47.65865,-122.31784,Entire home/apt,125.0,30,38,2023-11-05,0.29,132,309,1
3074414,Melissa,other neighborhoods,ravenna,47.66822,-122.2986,Entire home/apt,120.0,30,45,2024-03-14,0.34,132,312,4
316200,William,cascade,eastlake,47.63996,-122.32414,Entire home/apt,135.0,30,246,2024-06-17,1.87,7,268,3
316200,William,queen anne,east queen anne,47.63346,-122.34558,Entire home/apt,143.0,3,200,2024-06-19,1.52,7,291,24
3074414,Melissa,university district,university district,47.65745,-122.31625,Entire home/apt,120.0,30,36,2023-07-14,0.27,132,331,1
3074414,Melissa,university district,university district,47.66502,-122.30352,Entire home/apt,125.0,30,68,2024-05-18,0.52,132,154,2
5312600,Rainer,central area,mann,47.61367,-122.29716,Private room,78.0,3,63,2024-06-22,0.48,2,61,1
3074414,Melissa,other neighborhoods,ravenna,47.66685,-122.295,Private room,78.0,30,37,2024-01-30,0.28,132,200,2
4384828,Monique,ballard,adams,47.67566,-122.38795,Entire home/apt,206.0,3,343,2024-06-20,2.61,2,310,36
3074414,Melissa,university district,university district,47.65884,-122.31809,Entire home/apt,100.0,30,27,2022-07-23,0.21,132,331,0
8501598,Stan,other neighborhoods,north beach/blue ridge,47.69106,-122.38337,Private room,212.459747172322,30,42,2015-10-06,0.34,1,365,0
3074414,Melissa,university district,university district,47.66135,-122.31503,Entire home/apt,110.0,30,31,2023-09-30,0.26,132,328,8
3074414,Melissa,university district,university district,47.66108,-122.31434,Entire home/apt,125.0,30,24,2023-11-11,0.18,132,312,1
3074414,Melissa,university district,university district,47.65891,-122.31745,Entire home/apt,131.0,1,44,2021-08-07,0.34,132,214,0
8654046,Ronda,other neighborhoods,phinney ridge,47.68073,-122.34874,Entire home/apt,231.0,2,27,2024-05-31,0.25,2,33,7
8660724,Deb,beacon hill,north beacon hill,47.57793051,-122.3002051,Private room,45.0,30,10,2023-09-30,0.13,3,125,3
3074414,Melissa,university district,university district,47.66281,-122.31305,Entire home/apt,110.0,30,23,2021-03-24,0.19,132,92,0
8905591,David,downtown,first hill,47.61215,-122.32971,Entire home/apt,250.0,3,223,2024-05-10,1.71,1,300,14
8916363,Paige,queen anne,west queen anne,47.63059,-122.36509,Entire home/apt,220.0,1,709,2024-06-20,5.43,3,18,113
8956137,William,queen anne,west queen anne,47.6304,-122.37041,Entire home/apt,395.0,30,5,2022-11-11,0.07,1,304,0
3650951,Candace,capitol hill,broadway,47.61884,-122.32476,Entire home/apt,130.0,3,122,2023-06-26,1.11,1,19,1
1214247,Marcell,delridge,north delridge,47.56204,-122.36149,Entire home/apt,90.0,2,213,2024-06-01,1.67,1,236,32
9148911,Constance,other neighborhoods,bryant,47.67148,-122.28099,Private room,71.0,30,40,2022-08-10,0.35,1,322,0
3074414,Melissa,university district,university district,47.66316,-122.31276,Entire home/apt,115.0,30,54,2023-08-12,0.42,132,260,1
8026420,Sheldon,university district,university district,47.6568,-122.31299,Entire home/apt,92.0,30,303,2019-12-08,2.33,2,339,0
9450725,Ron,other neighborhoods,wallingford,47.65428,-122.33766,Entire home/apt,116.0,2,365,2024-06-21,2.81,1,182,37
3464851,Ev,northgate,maple leaf,47.70265,-122.31618,Private room,60.0,30,25,2019-11-10,0.29,1,358,0
9533123,Pam,queen anne,east queen anne,47.63089,-122.34815,Entire home/apt,150.0,2,629,2024-06-16,4.94,1,266,45
9671138,Susanna,other neighborhoods,greenwood,47.69674,-122.34621,Entire home/apt,212.459747172322,30,44,2019-11-25,0.34,1,175,0
3118422,Julie,rainier valley,columbia city,47.55306,-122.28104,Private room,40.0,30,204,2024-03-31,1.59,1,230,1
2497928,Gary And Beth,queen anne,west queen anne,47.63812,-122.37077,Private room,100.0,3,191,2024-06-17,1.51,1,328,18
9975709,Bea,beacon hill,north beacon hill,47.57943,-122.30387,Private room,100.0,30,104,2020-02-29,0.85,1,174,0
10014839,Timothy,other neighborhoods,greenwood,47.70407,-122.36123,Private room,35.0,30,19,2023-01-16,0.16,1,89,0
1121532,Melissa,capitol hill,broadway,47.62372,-122.32417,Entire home/apt,157.0,30,95,2023-01-03,0.75,10,352,0
10235544,Scott (Aka Skip),central area,leschi,47.59181,-122.29372,Entire home/apt,120.0,10,56,2024-04-14,0.45,3,189,4
10392662,Sheryl,other neighborhoods,wallingford,47.65973,-122.3322,Private room,71.0,30,248,2023-07-31,1.95,2,52,1
10437300,Paul,other neighborhoods,green lake,47.67612,-122.33221,Entire home/apt,196.0,3,163,2024-06-19,1.32,1,276,28
1865986,Sheldon,other neighborhoods,greenwood,47.68434,-122.3572,Private room,95.0,3,109,2024-06-17,0.87,2,64,9
8284327,Anna,beacon hill,north beacon hill,47.57325,-122.3074,Entire home/apt,89.0,30,99,2024-05-22,0.87,1,297,2
3074414,Melissa,university district,university district,47.66789,-122.3008,Entire home/apt,178.0,30,35,2021-09-06,0.28,132,130,0
10977007,Michelle,seward park,seward park,47.55264,-122.27113,Entire home/apt,138.0,2,222,2024-05-19,1.77,1,39,19
11206862,Tammi,beacon hill,north beacon hill,47.57882,-122.30842,Entire home/apt,139.0,30,173,2024-04-01,1.37,1,296,4
